Lactarius / deliciosus,,,,,,,,
Lactarius / necator,,,,,,,,
Lactarius / piperatus,Russulaceae,Russulales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lactarius / quietus,Russulaceae,Russulales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lactarius / semisanguifulus,,,,,,,,
Lactarius / sp.,Russulaceae,Russulales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lactarius / spinosulus,Russulaceae,Russulales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lactarius / tabidus,,,,,,,,
Lactarius / thejogalus,,,,,,,,
Lactarius / torminosus,Russulaceae,Russulales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lactarius / trivialis,,,,,,,,
Lactarius / turpis,,,,,,,,
Lactarius / vellereus,,,,,,,,
Lactarius / volemus,Russulaceae,Russulales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Laetiporus / sulphureus,Formitopsidaceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Langermannia / gigantea,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Leccinium / aurantiacum,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Leccinium / carpini,,,,,,,,
Leccinium / griseum,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Leccinium / scabrum,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Leccinium / sp.,,,,,,,,
Lentinellus / cochleatus,,,,,,,,
Lentinus / cyathiformis,Polyporaceae s.stric,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lentinus / tigrinus,Polyporaceae s.stric,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lenzites / betulina,Polyporaceae s.stric,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Leotia / lubrica,,,,,,,,
Lepiota / acutesquamosa var.f.,,,,,,,,
Lepiota / brunneo-incarnata,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lepiota / clypeolaria,,,,,,,,
Lepiota / cristata,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lepiota / excoriata,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lepiota / naucina,,,,,,,,
Lepiota / sp.,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lepista / inversa,Tricholomataceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lepista / nebularis,,,,,,,,
Lepista / nuda,Tricholomataceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Leptopodia / elastica,,,,,,,,
Leucocortinarius / bulbiger,,,,,,,,
Lycogala / epidendrum,Tubiferaceae,Liceida,Incertae sedis,,,,,
Lycogala / flavofuscum,Tubiferaceae,Liceida,Incertae sedis,Myxogastrea,Mycetozoa,,,
Lycoperdon / caellatum,,,,,,,,
Lycoperdon / echinatum,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lycoperdon / hiemale,,,,,,,,
Lycoperdon / perlatum,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lycoperdon / pyriforme,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lycoperdon / sp.,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Lyophyllum / georgii,,,,,,,,
Lyophyllum / loricatum,Lyophyllaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Macrolepiota / konradii,,,,,,,,
Macrolepiota / mastoidea,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Macrolepiota / procera,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Macrolepiota / rhacodes,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Marasmiellus / amadelphus,Omphalotaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Marasmius / alliaceus,Marasmiaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Marasmius / androsaceus,,,,,,,,
Marasmius / oreades,Marasmiaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Marasmius / rotula,Marasmiaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Marasmius / scorodonius,,,,,,,,
Marasmius / sp.,Marasmiaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Meripilus / giganteus,Meripilaceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Merulius / tremellosus,Meruliaceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Micromphale / foetidum,Omphalotaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Morchella / conica,,,,,,,,
Morchella / esculenta,Morchelaceae,Pezizales,Pezizomycetidae,Pezizomycetes,Pezizomycotina,Basidiomycota,,
Morchella / sp.,,,,,,,,
Mutinus / caninus,Phallaceae,Phallales,Phallomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Mycena / acicula,,,,,,,,
Mycena / crocata,Mycenaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Mycena / flavescens,Mycenaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Mycena / galericulata,,,,,,,,
Mycena / olivaceomarginata,Mycenaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Mycena / polygramma,Mycenaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Mycena / pura,Mycenaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Mycena / renati,,,,,,,,
Mycena / sp.,Tricholomataceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Mycromphale / foetidum,Omphalotaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Nectria / cinnabarina,Nectriaceae,Hypocreales,Hypocreomycetidae,Sordariomycetes,Pezizomycotina,Ascomycota,,
Omphalotus / olearius,Omphalotaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Otidea / onotica,,,,,,,,
Oudemansiella / longipes,Physalacriaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basiodiomycota,,
Oudemansiella / mucida,Physalacriaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basiodiomycota,,
Oudemansiella / radicata,Physalacriaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basiodiomycota,,
Panaeolus / rickenii,,,,,,,,
Panellus / mitis,Mycenaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Panellus / stipticus,Mycenaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Paxillus / atrotomentosus,,,,,,,,
Paxillus / involutus,Paxillaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Paxina / acetabulum,Helvellaceae,Pezizales,Pezizomycetidae,Pezizomycetes,Pezizomycotina,Ascomycota,,
Peniophora / incarnata,,,,,,,,
Peniophora / quercina,Peniophoraceae,Russulales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Peziza / badia,Pezizaceae,Pezizales,Pezizomycetidae,Pezizomycetes,Pezizomycotina,Ascomycota,,
Peziza / cerea,Pezizaceae,Pezizales,Pezizomycetidae,Pezizomycetes,Pezizomycotina,Ascomycota,,
Peziza / echinospora,Pezizaceae,Pezizales,Pezizomycetidae,Pezizomycetes,Pezizomycotina,Ascomycota,,
Peziza / sp.,Pezizaceae,Pezizales,Pezizomycetidae,Pezizomycetes,Pezizomycotina,Ascomycota,,
Peziza / vesiculosa,Pezizaceae,Pezizales,Pezizomycetidae,Pezizomycetes,Pezizomycotina,Ascomycota,,
Phallus / hadriani,,,,,,,,
Phallus / impudicus,Phallaceae,Phallales,Phallomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Phellinus / igniarius,,,,,,,,
Phellinus / punctatus,Hymenochaetaceae,Hymenochaetales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Phellinus / robustus,Hymenochaetaceae,Hymenochaetales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Phlebia / merismoides,,,,,,,,
Pholiota / aegerita,,,,,,,,
